Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
0,12,Barabati Stadium,0,0,0,0,A Ashish Reddy,Deccan Chargers,1,32,19,10.10526316
0,12,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,A Ashish Reddy,Deccan Chargers,1,36,25,8.64
A Ashish Reddy,12,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,3,3,100,A Ashish Reddy,Deccan Chargers,1,16,13,7.384615385
A Ashish Reddy,12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,22,17,129.4117647,A Ashish Reddy,Deccan Chargers,5,107,74,8.675675676
0,12,Subrata Roy Sahara Stadium,0,0,0,0,A Ashish Reddy,Deccan Chargers,2,32,24,8
A Ashish Reddy,12,"Wankhede Stadium, Mumbai",Deccan Chargers,10,10,100,A Ashish Reddy,Deccan Chargers,1,11,14,4.714285714
A Ashish Reddy,13,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,16,9,177.7777778,0,0,0,0,0,0
A Ashish Reddy,13,"Eden Gardens, Kolkata",Sunrisers Hyderabad,4,5,80,A Ashish Reddy,Sunrisers Hyderabad,1,15,12,7.5
A Ashish Reddy,13,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,3,4,75,A Ashish Reddy,Sunrisers Hyderabad,0,12,6,12
A Ashish Reddy,13,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,36,16,225,A Ashish Reddy,Sunrisers Hyderabad,0,15,5,18
A Ashish Reddy,13,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,19,15,126.6666667,0,0,0,0,0,0
A Ashish Reddy,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,33,30,110,A Ashish Reddy,Sunrisers Hyderabad,2,28,18,9.333333333
A Ashish Reddy,13,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,14,11,127.2727273,0,0,0,0,0,0
A Ashish Reddy,15,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad,28,17,164.7058824,A Ashish Reddy,Sunrisers Hyderabad,1,20,19,6.315789474
0,15,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,A Ashish Reddy,Sunrisers Hyderabad,1,11,6,11
A Ashish Reddy,15,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,22,8,275,0,0,0,0,0,0
A Ashish Reddy,15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,23,21,109.5238095,A Ashish Reddy,Sunrisers Hyderabad,1,19,12,9.5
A Ashish Reddy,16,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,32,18,177.7777778,A Ashish Reddy,Sunrisers Hyderabad,0,25,11,13.63636364
A Ashish Reddy,16,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,15,12,125,A Ashish Reddy,Sunrisers Hyderabad,1,14,12,7
A Badoni,22,"Brabourne Stadium, Mumbai",Lucknow Super Giants,19,15,126.6666667,A Badoni,Lucknow Super Giants,1,5,6,5
A Badoni,22,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,42,29,144.8275862,0,0,0,0,0,0
A Badoni,22,"Maharashtra Cricket Association Stadium, Pune",Lucknow Super Giants,27,35,77.14285714,0,0,0,0,0,0
A Badoni,22,"Wankhede Stadium, Mumbai",Lucknow Super Giants,73,60,121.6666667,A Badoni,Lucknow Super Giants,1,6,6,6
A Badoni,23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,94,68,138.2352941,0,0,0,0,0,0
A Badoni,23,"Eden Gardens, Kolkata",Lucknow Super Giants,25,22,113.6363636,0,0,0,0,0,0
A Badoni,23,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,30,29,103.4482759,0,0,0,0,0,0
A Badoni,23,"MA Chidambaram Stadium, Chepauk, Chennai",Lucknow Super Giants,24,26,92.30769231,0,0,0,0,0,0
A Badoni,23,"Narendra Modi Stadium, Ahmedabad",Lucknow Super Giants,21,12,175,0,0,0,0,0,0
A Badoni,23,"Punjab Cricket Association IS Bindra Stadium, Mohali",Lucknow Super Giants,43,25,172,A Badoni,Lucknow Super Giants,0,0,1,0
A Badoni,23,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,1,4,25,0,0,0,0,0,0
A Badoni,24,"Arun Jaitley Stadium, Delhi",Lucknow Super Giants,6,9,66.66666667,0,0,0,0,0,0
A Badoni,24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,122,94,129.787234,0,0,0,0,0,0
A Badoni,24,"Eden Gardens, Kolkata",Lucknow Super Giants,29,27,107.4074074,0,0,0,0,0,0
A Badoni,24,"M Chinnaswamy Stadium, Bengaluru",Lucknow Super Giants,0,3,0,0,0,0,0,0,0
A Badoni,24,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,55,32,171.875,A Badoni,Lucknow Super Giants,0,19,6,19
A Badoni,24,"Sawai Mansingh Stadium, Jaipur",Lucknow Super Giants,1,5,20,A Badoni,Lucknow Super Giants,0,6,6,6
A Badoni,24,"Wankhede Stadium, Mumbai",Lucknow Super Giants,22,10,220,0,0,0,0,0,0
A Chandila,12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,0,1,0,A Chandila,Rajasthan Royals,1,20,24,5
0,12,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,A Chandila,Rajasthan Royals,4,66,60,6.6
A Chandila,13,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,4,6,66.66666667,A Chandila,Rajasthan Royals,0,21,24,5.25
0,13,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,A Chandila,Rajasthan Royals,1,16,18,5.333333333
0,13,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,A Chandila,Rajasthan Royals,1,24,24,6
0,13,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,A Chandila,Rajasthan Royals,4,95,84,6.785714286
A Chopra,8,"Eden Gardens, Kolkata",Kolkata Knight Riders,17,26,65.38461538,0,0,0,0,0,0
A Chopra,8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Kolkata Knight Riders,24,25,96,0,0,0,0,0,0
A Chopra,8,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,1,4,25,0,0,0,0,0,0
A Chopra,9,Newlands,Kolkata Knight Riders,11,20,55,0,0,0,0,0,0
A Choudhary,17,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,19,18,105.5555556,A Choudhary,Royal Challengers Bengaluru,3,57,55,6.218181818
A Choudhary,17,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,6,2,300,A Choudhary,Royal Challengers Bengaluru,1,55,28,11.78571429
0,17,"Wankhede Stadium, Mumbai",0,0,0,0,A Choudhary,Royal Challengers Bengaluru,1,32,25,7.68
A Dananjaya,18,"Wankhede Stadium, Mumbai",Mumbai Indians,4,5,80,A Dananjaya,Mumbai Indians,0,47,25,11.28
A Flintoff,9,Kingsmead,Chennai Super Kings,16,18,88.88888889,A Flintoff,Chennai Super Kings,0,50,24,12.5
A Flintoff,9,Newlands,Chennai Super Kings,24,25,96,A Flintoff,Chennai Super Kings,1,44,24,11
A Flintoff,9,St George's Park,Chennai Super Kings,22,14,157.1428571,A Flintoff,Chennai Super Kings,1,11,18,3.666666667
A Kamboj,24,"Eden Gardens, Kolkata",Mumbai Indians,2,2,100,A Kamboj,Mumbai Indians,1,24,19,7.578947368
0,24,"Wankhede Stadium, Mumbai",0,0,0,0,A Kamboj,Mumbai Indians,1,90,49,11.02040816
0,8,"Eden Gardens, Kolkata",0,0,0,0,A Kumble,Royal Challengers Bengaluru,0,21,18,7
A Kumble,8,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,3,7,42.85714286,A Kumble,Royal Challengers Bengaluru,2,168,120,8.4
A Kumble,8,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,2,1,200,A Kumble,Royal Challengers Bengaluru,3,14,24,3.5
A Kumble,8,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bengaluru,0,1,0,A Kumble,Royal Challengers Bengaluru,0,36,25,8.64
0,8,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,A Kumble,Royal Challengers Bengaluru,1,28,25,6.72
A Kumble,8,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,8,8,100,A Kumble,Royal Challengers Bengaluru,1,32,24,8
A Kumble,9,Kingsmead,Royal Challengers Bengaluru,6,7,85.71428571,A Kumble,Royal Challengers Bengaluru,7,72,96,4.5
A Kumble,9,New Wanderers Stadium,Royal Challengers Bengaluru,1,1,100,A Kumble,Royal Challengers Bengaluru,6,88,86,6.139534884
A Kumble,9,Newlands,Royal Challengers Bengaluru,1,1,100,A Kumble,Royal Challengers Bengaluru,5,44,43,6.139534884
A Kumble,9,St George's Park,Royal Challengers Bengaluru,8,11,72.72727273,A Kumble,Royal Challengers Bengaluru,0,75,73,6.164383562
0,9,SuperSport Park,0,0,0,0,A Kumble,Royal Challengers Bengaluru,3,63,60,6.3
A Kumble,10,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,1,1,100,A Kumble,Royal Challengers Bengaluru,1,33,24,8.25
0,10,"Brabourne Stadium, Mumbai",0,0,0,0,A Kumble,Royal Challengers Bengaluru,1,18,24,4.5
A Kumble,10,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bengaluru,1,3,33.33333333,A Kumble,Royal Challengers Bengaluru,5,46,47,5.872340426
0,10,"Eden Gardens, Kolkata",0,0,0,0,A Kumble,Royal Challengers Bengaluru,0,19,24,4.75
A Kumble,10,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,2,4,50,A Kumble,Royal Challengers Bengaluru,7,180,171,6.315789474
0,10,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,A Kumble,Royal Challengers Bengaluru,1,16,24,4
0,10,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,A Kumble,Royal Challengers Bengaluru,1,33,25,7.92
0,10,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,A Kumble,Royal Challengers Bengaluru,0,28,25,6.72
A Kumble,10,"Vidarbha Cricket Association Stadium, Jamtha",Royal Challengers Bengaluru,2,4,50,A Kumble,Royal Challengers Bengaluru,1,27,25,6.48
A Manohar,22,"Dr DY Patil Sports Academy, Mumbai",Gujarat Titans,80,56,142.8571429,0,0,0,0,0,0
A Manohar,22,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,13,14,92.85714286,0,0,0,0,0,0
A Manohar,22,"Wankhede Stadium, Mumbai",Gujarat Titans,15,9,166.6666667,0,0,0,0,0,0
A Manohar,23,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Gujarat Titans,3,5,60,0,0,0,0,0,0
A Manohar,23,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,109,78,139.7435897,0,0,0,0,0,0
A Manohar,23,"Wankhede Stadium, Mumbai",Gujarat Titans,2,3,66.66666667,0,0,0,0,0,0
A Manohar,24,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,8,14,57.14285714,0,0,0,0,0,0
A Manohar,24,"Sawai Mansingh Stadium, Jaipur",Gujarat Titans,1,2,50,0,0,0,0,0,0
0,8,"Arun Jaitley Stadium, Delhi",0,0,0,0,A Mishra,Delhi Daredevils,7,61,60,6.1
A Mishra,8,"Eden Gardens, Kolkata",Delhi Capitals,31,32,96.875,A Mishra,Delhi Daredevils,0,13,18,4.333333333
A Mishra,8,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,4,5,80,A Mishra,Delhi Daredevils,2,27,20,8.1
A Mishra,8,"Wankhede Stadium, Mumbai",Delhi Capitals,2,5,40,A Mishra,Delhi Daredevils,2,37,25,8.88
0,9,Buffalo Park,0,0,0,0,A Mishra,Delhi Daredevils,0,20,26,4.615384615
A Mishra,9,Kingsmead,Delhi Capitals,2,3,66.66666667,A Mishra,Delhi Daredevils,0,57,42,8.142857143
A Mishra,9,New Wanderers Stadium,Delhi Capitals,11,8,137.5,A Mishra,Delhi Daredevils,3,38,43,5.302325581
0,9,OUTsurance Oval,0,0,0,0,A Mishra,Delhi Daredevils,3,33,26,7.615384615
0,9,St George's Park,0,0,0,0,A Mishra,Delhi Daredevils,1,19,26,4.384615385
A Mishra,9,SuperSport Park,Delhi Capitals,13,9,144.4444444,A Mishra,Delhi Daredevils,7,127,99,7.696969697
A Mishra,10,"Arun Jaitley Stadium, Delhi",Delhi Capitals,23,30,76.66666667,A Mishra,Delhi Daredevils,11,187,169,6.639053254
A Mishra,10,Barabati Stadium,Delhi Capitals,0,1,0,A Mishra,Delhi Daredevils,1,12,19,3.789473684
A Mishra,10,"Brabourne Stadium, Mumbai",Delhi Capitals,12,17,70.58823529,A Mishra,Delhi Daredevils,0,30,18,10
A Mishra,10,"Eden Gardens, Kolkata",Delhi Capitals,4,6,66.66666667,A Mishra,Delhi Daredevils,0,41,26,9.461538462
0,10,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,A Mishra,Delhi Daredevils,2,23,24,5.75
0,10,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,A Mishra,Delhi Daredevils,1,13,25,3.12
0,10,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,A Mishra,Delhi Daredevils,1,23,24,5.75
0,10,"Sardar Patel Stadium, Motera",0,0,0,0,A Mishra,Delhi Daredevils,1,34,24,8.5
0,11,"Arun Jaitley Stadium, Delhi",0,0,0,0,A Mishra,Deccan Chargers,1,28,24,7
0,11,"Dr DY Patil Sports Academy, Mumbai",0,0,0,0,A Mishra,Deccan Chargers,2,26,25,6.24
A Mishra,11,"Eden Gardens, Kolkata",Deccan Chargers,12,6,200,A Mishra,Deccan Chargers,2,19,24,4.75
0,11,"Himachal Pradesh Cricket Association Stadium, Dharamsala",0,0,0,0,A Mishra,Deccan Chargers,4,9,24,2.25
A Mishra,11,"MA Chidambaram Stadium, Chepauk, Chennai",Deccan Chargers,2,5,40,A Mishra,Deccan Chargers,0,34,18,11.33333333
A Mishra,11,Nehru Stadium,Deccan Chargers,0,1,0,A Mishra,Deccan Chargers,1,12,24,3
A Mishra,11,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,36,33,109.0909091,A Mishra,Deccan Chargers,8,212,161,7.900621118
A Mishra,11,"Wankhede Stadium, Mumbai",Deccan Chargers,18,7,257.1428571,A Mishra,Deccan Chargers,1,18,24,4.5
A Mishra,12,"Arun Jaitley Stadium, Delhi",Deccan Chargers,6,7,85.71428571,A Mishra,Deccan Chargers,0,26,13,12
A Mishra,12,Barabati Stadium,Deccan Chargers,1,1,100,A Mishra,Deccan Chargers,1,47,43,6.558139535
A Mishra,12,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Deccan Chargers,0,2,0,A Mishra,Deccan Chargers,1,31,24,7.75
0,12,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,A Mishra,Deccan Chargers,2,28,24,7
0,12,"MA Chidambaram Stadium, Chepauk, Chennai",0,0,0,0,A Mishra,Deccan Chargers,1,18,12,9
0,12,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,A Mishra,Deccan Chargers,1,31,18,10.33333333
A Mishra,12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,8,5,160,A Mishra,Deccan Chargers,4,110,86,7.674418605
0,12,"Sawai Mansingh Stadium, Jaipur",0,0,0,0,A Mishra,Deccan Chargers,3,32,25,7.68
0,12,Subrata Roy Sahara Stadium,0,0,0,0,A Mishra,Deccan Chargers,0,25,19,7.894736842
A Mishra,12,"Wankhede Stadium, Mumbai",Deccan Chargers,1,6,16.66666667,A Mishra,Deccan Chargers,0,27,25,6.48
A Mishra,13,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,16,14,114.2857143,A Mishra,Sunrisers Hyderabad,2,31,48,3.875
A Mishra,13,"Eden Gardens, Kolkata",Sunrisers Hyderabad,1,1,100,A Mishra,Sunrisers Hyderabad,0,28,18,9.333333333
0,13,"M Chinnaswamy Stadium, Bengaluru",0,0,0,0,A Mishra,Sunrisers Hyderabad,0,42,26,9.692307692
A Mishra,13,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,15,21,71.42857143,A Mishra,Sunrisers Hyderabad,3,26,24,6.5
A Mishra,13,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,30,26,115.3846154,A Mishra,Sunrisers Hyderabad,4,19,24,4.75
0,13,"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,0,0,A Mishra,Sunrisers Hyderabad,0,20,12,10
A Mishra,13,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,6,8,75,A Mishra,Sunrisers Hyderabad,12,172,193,5.347150259
A Mishra,13,"Sawai Mansingh Stadium, Jaipur",Sunrisers Hyderabad,21,33,63.63636364,A Mishra,Sunrisers Hyderabad,0,20,12,10
0,13,"Wankhede Stadium, Mumbai",0,0,0,0,A Mishra,Sunrisers Hyderabad,0,36,19,11.36842105
0,14,"Arun Jaitley Stadium, Delhi",0,0,0,0,A Mishra,Sunrisers Hyderabad,2,23,18,7.666666667
0,14,Dubai International Cricket Stadium,0,0,0,0,A Mishra,Sunrisers Hyderabad,0,92,50,11.04
0,14,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",0,0,0,0,A Mishra,Sunrisers Hyderabad,1,103,67,9.223880597
A Mishra,14,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,0,2,0,A Mishra,Sunrisers Hyderabad,0,13,25,3.12
A Mishra,14,Sharjah Cricket Stadium,Sunrisers Hyderabad,4,5,80,A Mishra,Sunrisers Hyderabad,2,83,46,10.82608696
0,14,"Sheikh Zayed Stadium, Abu Dhabi",0,0,0,0,A Mishra,Sunrisers Hyderabad,2,26,24,6.5
A Mishra,15,"Arun Jaitley Stadium, Delhi",Delhi Capitals,3,5,60,A Mishra,Delhi Daredevils,5,119,95,7.515789474
A Mishra,15,"Brabourne Stadium, Mumbai",Delhi Capitals,1,3,33.33333333,A Mishra,Delhi Daredevils,0,41,25,9.84
0,15,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0,0,0,0,A Mishra,Delhi Daredevils,0,14,12,7
0,15,"Eden Gardens, Kolkata",0,0,0,0,A Mishra,Delhi Daredevils,1,20,24,5
