Season,Striker,total_runs,balls_faced,strike_rate,total_wickets,total_runs_conceded,balls_bowled,economy_rate,Retention
22,A Badoni,161,139,117.575944185,2,11,12,2.75,0
22,A Manohar,108,79,134.12698415333332,0,0,0,0.0,0
22,A Nortje,1,7,14.28571429,6,145,92,9.456521739,0
22,A Tomar,4,8,50.0,0,0,0,0.0,0
22,AD Russell,335,200,169.833281775,17,273,176,9.371203912,1
22,AJ Finch,86,70,101.25000001000001,0,0,0,0.0,0
22,AK Markram,381,277,140.023576075,1,64,36,7.875,1
22,AM Rahane,133,131,93.311766725,0,0,0,0.0,0
22,AR Patel,182,122,155.232334875,6,319,261,7.649512987,1
22,AS Joseph,5,7,41.666666665,3,102,81,7.573710074,0
22,AS Roy,0,2,0.0,0,27,18,9.0,0
22,AT Rayudu,274,230,119.45592970999999,0,0,0,0.0,0
22,Abdul Samad,4,7,33.333333335,0,8,6,4.0,0
22,Abhishek Sharma,426,329,128.84358062500002,0,38,24,5.66666666675,1
22,Akash Deep,0,2,0.0,4,141,70,12.08571429,0
22,Aman Hakim Khan,5,3,166.6666667,0,13,6,13.0,0
22,Anmolpreet Singh,13,13,106.944444445,0,0,0,0.0,0
22,Anuj Rawat,129,123,78.30309903,0,0,0,0.0,0
22,Arshdeep Singh,21,30,34.09090909,10,380,317,7.0984792575,1
22,Avesh Khan,22,13,185.18518519999998,13,223,178,7.569019927,1
22,B Indrajith,21,31,42.0,0,0,0,0.0,0
22,B Kumar,24,28,93.37121213,12,373,330,6.796158277,1
22,B Sai Sudharsan,145,118,123.04473304999999,0,0,0,0.0,0
22,CJ Jordan,11,9,125.0,2,77,56,7.98580645,0
22,CV Varun,12,18,81.25,3,238,145,10.319976077,0
22,D Brevis,161,116,130.68431571,1,8,3,4.0,0
22,D Padikkal,376,317,116.27070853333333,0,0,0,0.0,1
22,D Pretorius,44,28,144.910714275,6,210,138,9.40658508125,0
22,DA Miller,481,348,144.56010568333332,0,0,0,0.0,1
22,DA Warner,432,301,139.33374673333333,0,0,0,0.0,1
22,DJ Bravo,23,26,83.33333333333333,13,276,205,8.068268130666667,1
22,DJ Hooda,451,340,137.24675324,1,43,24,4.466666666,1
22,DJ Mitchell,33,46,72.47619047500001,0,27,13,13.0,0
22,DJ Willey,18,32,30.0,1,64,54,7.125,0
