Season,Striker,total_runs,balls_faced,strike_rate,total_wickets,total_runs_conceded,balls_bowled,economy_rate,Retention,Performance Score
24,SP Narine,488,292,160.0332347,17,366,334,7.095679442571429,1,609.8812665772286
22,AD Russell,335,200,169.833281775,17,273,176,9.371203912,1,535.6386233589001
22,HH Pandya,487,387,123.84813936666667,8,222,189,6.7513888145,1,508.62902516565
23,C Green,452,287,144.180218205,6,351,239,9.399029421,1,476.4343566352
22,LS Livingstone,437,261,154.8247355,6,202,144,8.8792105275,1,472.28365749175003
24,AD Russell,222,141,175.694993406,16,251,154,8.6653221582,1,471.10890137434
24,Abhishek Sharma,484,248,176.24935715625,2,51,42,3.0625,1,463.956057146875
24,SM Curran,270,230,94.32460118571429,15,356,230,9.38072453842857,1,460.4831629941857
23,RA Jadeja,190,138,175.6481481333333,16,393,306,9.133748326166666,1,454.95431994215
23,Rashid Khan,130,66,184.63980463333334,18,370,260,8.441823899333334,1,447.8593942202
23,MP Stoinis,408,281,122.041846105,5,100,69,5.39375,1,438.9944288315
22,K Rabada,48,47,103.607954545,23,399,303,7.907427730999999,1,432.7101580442
22,DJ Hooda,451,340,137.24675324,1,43,24,4.466666666,1,425.3340259722
23,AR Patel,283,216,116.31002926714287,10,306,270,7.312133769428572,1,424.1993686493143
23,N Rana,413,303,126.14254631125,3,75,54,3.09375,1,423.414638893375
24,MP Stoinis,388,272,125.00246500375,4,121,87,2.825844155875,1,420.6529862543625
22,Rashid Khan,91,44,143.98395722499998,18,383,338,6.737331081,1,416.67398784319994
23,GJ Maxwell,400,225,108.37662339125,3,94,64,3.8625,1,411.354237017375
22,GJ Maxwell,301,184,165.14157586666667,6,165,146,5.7238826715,1,408.32530795855
24,RA Jadeja,267,191,146.91854212857143,8,332,261,9.586126029142857,1,404.6997248298286
24,HH Pandya,216,154,128.773809525,11,387,226,10.909166666625,1,403.35939285751243
22,R Ashwin,191,140,127.80258727833335,12,501,419,7.316047358333333,1,401.645961976
24,AR Patel,235,183,115.87432408714287,10,294,216,7.670329670285715,1,399.9611983250572
24,PJ Cummins,136,99,110.10212411428571,15,521,350,8.342321312142857,1,398.5279408406428
22,SN Thakur,120,90,121.27673050749999,15,466,315,9.045121526500001,1,393.6694826943
24,T Stubbs,378,204,147.594332305,1,4,6,0.5,1,393.12829969150005
23,HH Pandya,346,254,137.41134559124998,3,228,156,5.433689422125,1,392.59329685073754
22,AK Markram,381,277,140.023576075,1,64,36,7.875,1,390.1445728225
24,S Dube,396,259,107.332393485,1,14,6,1.75,1,389.6747180455
22,MM Ali,244,183,123.235938175,8,158,146,6.6610228540000005,1,386.9724745963
22,HV Patel,43,42,114.55182073800002,18,380,311,7.659424274200001,1,383.56771893914
24,Shashank Singh,354,225,140.53482737666667,1,5,6,0.5555555555555556,1,378.9937815463333
24,Shahbaz Ahmed,215,173,154.13069108,7,252,160,11.718386876285715,1,370.2236912611143
22,KH Pandya,183,150,96.271460414,10,265,232,7.1868172758,1,368.22539294146003
23,AD Russell,227,162,122.7311175625,7,172,99,7.27410714375,1,368.137103125625
24,Nithish Kumar Reddy,303,221,125.620098615,3,153,87,9.869847030499999,1,366.22507547535
22,PWH de Silva,38,48,81.67892155,17,271,225,6.9684597845,1,361.41313852965
23,R Ashwin,67,55,129.0476190385714,14,334,285,7.024749923,1,360.1068607346714
22,TA Boult,40,30,140.158730152,15,449,363,7.0251154929999995,1,359.9400843977
23,MR Marsh,128,97,85.18264839999999,12,170,132,5.952006133599999,1,357.76919267991997
24,DJ Mitchell,318,228,127.43635709142858,1,70,38,2.969670329714286,1,356.34000602851427
22,Umran Malik,4,8,53.333333333333336,19,347,237,8.754332459666667,1,355.3737002621
23,Mohammed Shami,5,8,35.714285715,19,267,233,6.807115384499999,1,351.17215109914997
22,JO Holder,58,46,111.63003663250001,14,391,266,8.850075188,1,349.83398843335
22,RD Chahar,77,70,76.4814814725,14,351,290,7.4436165800000005,1,349.21135946774996
23,MM Sharma,0,1,0.0,20,181,141,7.70212766,1,347.689361702
22,UT Yadav,55,41,100.3968254,14,295,249,7.314313725333332,1,345.4247535024
22,AR Patel,182,122,155.232334875,6,319,261,7.649512987,1,345.2748465664
22,Avesh Khan,22,13,185.18518519999998,13,223,178,7.569019927,1,344.2848495819
23,KH Pandya,188,172,96.66666667142856,7,289,229,7.532312924714286,1,340.7403061240143
24,HV Patel,13,19,52.857142855,17,206,156,7.761344538,1,340.0287394951
24,JJ Bumrah,12,12,130.0,14,183,201,5.761164883666666,1,333.2716505349
23,PP Chawla,25,22,103.96825397666667,14,349,257,8.373485777,1,331.17843045989997
24,WG Jacks,230,133,152.30520697833333,2,98,55,6.59,1,328.71456209350004
