Season,Striker,total_runs,balls_faced,strike_rate,total_wickets,total_runs_conceded,balls_bowled,economy_rate,Retention,Performance Score,Calculated Salary (Lakhs)
22,AD Russell,335,200,169.833281775,17,273,176,9.371203912,1,535.6386233589001,1417.1915755519228
22,AK Markram,381,277,140.023576075,1,64,36,7.875,1,390.1445728225,1058.9400775966076
22,AR Patel,182,122,155.232334875,6,319,261,7.649512987,1,345.2748465664,948.4568888694425
22,Abhishek Sharma,426,329,128.84358062500002,0,38,24,5.66666666675,1,251.6530741875,717.9310352533091
22,Arshdeep Singh,21,30,34.09090909,10,380,317,7.0984792575,1,268.59772894975004,759.6540330565288
22,Avesh Khan,22,13,185.18518519999998,13,223,178,7.569019927,1,344.2848495819,946.0192091061754
22,B Kumar,24,28,93.37121213,12,373,330,6.796158277,1,307.9725161559,856.6069768110633
22,D Padikkal,376,317,116.27070853333333,0,0,0,0.0,1,222.88121256,647.0857842687258
22,DA Miller,481,348,144.56010568333332,0,0,0,0.0,1,283.868031705,797.2542566816924
22,DA Warner,432,301,139.33374673333333,0,0,0,0.0,1,257.80012402,733.066979316865
22,DJ Bravo,23,26,83.33333333333333,13,276,205,8.068268130666667,1,314.0795195608,871.6443141438108
22,DJ Hooda,451,340,137.24675324,1,43,24,4.466666666,1,425.3340259722,1145.5874302315142
22,DR Sams,38,40,126.42857142000001,12,313,255,7.919694792333334,1,324.5526629883,897.4324429873614
22,F du Plessis,468,377,91.84838180166666,0,0,0,0.0,1,261.5545145405,742.3114537329639
22,GJ Maxwell,301,184,165.14157586666667,6,165,146,5.7238826715,1,408.32530795855,1103.70668882508
22,HH Pandya,487,387,123.84813936666667,8,222,189,6.7513888145,1,508.62902516565,1350.6855639574335
22,HV Patel,43,42,114.55182073800002,18,380,311,7.659424274200001,1,383.56771893914,1042.7458225953867
22,Ishan Kishan,418,355,113.4432000225,0,0,0,0.0,1,243.03296000675,696.7056393940679
22,JC Buttler,863,596,142.16965361666666,0,0,0,0.0,1,474.150896085,1265.7897118981814
22,JJ Bumrah,0,9,0.0,15,268,257,6.398989899,1,298.0803030303,832.2492786283956
22,JM Sharma,234,149,160.591842525,0,0,0,0.0,1,165.1775527575,505.00146889269837
22,JO Holder,58,46,111.63003663250001,14,391,266,8.850075188,1,349.83398843335,959.6829108078241
22,JR Hazlewood,18,27,51.041666667499996,10,250,189,7.3081550805,1,272.1200534761,768.3270889869768
22,K Rabada,48,47,103.607954545,23,399,303,7.907427730999999,1,432.7101580442,1163.7497561422163
22,KD Karthik,330,188,147.05393679166664,0,0,0,0.0,1,209.11618103749998,613.1920054911252
22,KH Pandya,183,150,96.271460414,10,265,232,7.1868172758,1,368.22539294146003,1004.9682553991768
22,KL Rahul,616,472,118.91299436,0,0,0,0.0,1,343.673898308,944.5148574969826
22,Kuldeep Yadav,48,54,90.0,11,302,208,8.492501209666665,1,308.4522496371,857.7882294988922
22,LS Livingstone,437,261,154.8247355,6,202,144,8.8792105275,1,472.28365749175003,1261.191991093753
22,M Ashwin,12,14,120.0,9,228,179,7.811039835333332,1,279.6566880494,786.8846218584054
22,M Prasidh Krishna,6,12,48.571428569999995,6,160,150,5.9607843135,1,225.78319327695002,654.2313612531584
22,M Theekshana,7,7,87.5,6,133,116,7.0265151515,1,237.64204545455,683.4315350127924
22,MM Ali,244,183,123.235938175,8,158,146,6.6610228540000005,1,386.9724745963,1051.1293874892947
22,N Pooran,306,228,134.311767275,0,0,0,0.0,1,193.2935301825,574.2317294555803
22,N Rana,361,259,135.790141225,0,23,12,5.75,1,221.2370423675,643.0373270831226
22,PP Shaw,283,193,148.541257425,0,0,0,0.0,1,186.0623772275,556.4263871166876
22,PWH de Silva,38,48,81.67892155,17,271,225,6.9684597845,1,361.41313852965,988.1943712541818
22,Q de Kock,508,350,136.23381262,0,0,0,0.0,1,294.87014378599997,824.3448704845187
22,R Ashwin,191,140,127.80258727833335,12,501,419,7.316047358333333,1,401.645961976,1087.2600664732493
22,R Dhawan,37,41,151.351727975,6,156,119,7.710664335500001,1,271.59231909184996,767.0276431815773
22,RA Tripathi,413,271,134.6511697925,0,0,0,0.0,1,246.89535093775,706.2160443324033
22,RD Chahar,77,70,76.4814814725,14,351,290,7.4436165800000005,1,349.21135946774996,958.1498050981802
22,RD Gaikwad,368,298,99.3405163425,0,0,0,0.0,1,213.80215490275,624.7303271641842
22,RM Patidar,333,232,139.02997252,0,0,0,0.0,1,208.208991756,610.958223987152
22,RR Pant,340,234,147.33763464999998,0,0,0,0.0,1,214.201290395,625.7131225943651
22,Ramandeep Singh,45,42,109.42684766333332,6,54,41,2.6341463413333335,1,264.5378103966,749.657253821362
22,Rashid Khan,91,44,143.98395722499998,18,383,338,6.737331081,1,416.67398784319994,1124.2637292236286
22,S Dhawan,460,395,115.9170299,0,0,0,0.0,1,264.77510897,750.2415565407503
22,SA Yadav,303,210,130.396440125,0,0,0,0.0,1,190.6189320375,567.646038918117
22,SN Thakur,120,90,121.27673050749999,15,466,315,9.045121526500001,1,393.6694826943,1067.6194994497635
22,SO Hetmyer,314,221,122.43759591833333,0,0,0,0.0,1,193.7312787755,575.309602321116
22,SP Narine,71,40,148.80952382499999,9,310,342,5.51266285025,1,318.48905829242494,882.5019667424742
22,SS Iyer,401,310,128.697255875,0,7,6,1.75,1,239.1091767625,687.0440675310119
22,SV Samson,458,321,145.48682361666667,0,0,0,0.0,1,272.646047085,769.622248463317
22,Shubman Gill,483,374,123.47017079833331,0,0,0,0.0,1,278.5410512395,784.1375778600616
22,TA Boult,40,30,140.158730152,15,449,363,7.0251154929999995,1,359.9400843977,984.5672549054734
22,TG Southee,2,12,6.666666666666667,14,275,220,7.396907040333333,1,290.7809278879,814.2759520953746
22,TH David,186,91,195.78865580000002,0,0,0,0.0,1,151.73659674,471.9056645662102
22,Tilak Varma,397,313,127.837552025,0,13,12,3.25,1,236.8512656075,681.484389657267
22,UT Yadav,55,41,100.3968254,14,295,249,7.314313725333332,1,345.4247535024,948.8260062606892
22,Umran Malik,4,8,53.333333333333336,19,347,237,8.754332459666667,1,355.3737002621,973.3234002544627
22,V Kohli,341,306,107.51085125833333,0,0,0,0.0,1,202.7532553775,597.5245081558785
22,WP Saha,317,266,83.66963533666667,0,0,0,0.0,1,183.600890601,550.3654432644166
23,AD Russell,227,162,122.7311175625,7,172,99,7.27410714375,1,368.137103125625,1004.7508584770314
23,AM Rahane,326,193,179.81362675,0,0,0,0.0,1,216.94408802499999,632.4667414256037
23,AR Patel,283,216,116.31002926714287,10,306,270,7.312133769428572,1,424.1993686493143,1142.7935518283002
